Id, Name, Year, MinPlayers, MaxPlayers, MinPlayTime, MaxPlayTime, PlayingTime, NumOwned, Age,
128666, BANG! 10th Anniversary, 2012, 3, 7, 30, 30, 30, 718, -1, 
96345, Black Stories Funny Death Edition, 2014, 2, 15, 20, 20, 20, 700, -1, 
43042, Blue Stories, 2014, 2, 15, -1, -1, -1, 77, -1, 
980, Boonanza: Al Caboon, 2011, 1, 2, 60, 60, 60, 2480, -1, 
1494, Boonanza: De Uitbreiding, 2015, 3, 7, 60, 60, 60, 2945, -1, 
166504, Brugge: De Dieren, 2016, 2, 5, 60, 60, 60, 1000, -1, 
191540, Cacao: Chocolatl, 2018, 2, 4, 60, 60, 60, 2703, -1, 
231967, Cacao: Diamante, 2018, 2, 4, 60, 60, 60, 781, -1, 
211966, Camel Up: Grand Prix of the Sahara, 2016, 2, 8, -1, -1, -1, 308, -1, 
89952, Carcassonne Jubileumeditie, 2011, 2, 5, 45, 45, 45, 3128, -1, 
2591, Carcassonne: De Rivier, 2001, 2, 5, 30, 45, 45, 17505, -1, 
118615, Carcassonne: De Vliegtuigen, 2012, 2, 6, -1, -1, -1, 4285, -1, 
5405, Carcassonne: Kooplieden en Bouwmeesters, 2003, 2, 6, 60, 60, 60, 30152, -1, 
118619, Carcassonne: Nieuwsberichten, 2012, 2, 6, -1, -1, -1, 4153, -1, 
149901, Carcassonne: Südsee – Freitag, 2013, 2, 5, 35, 35, 35, 506, -1, 
2993, Carcassonne: Uitbreiding 1 – Kathedralen & Herbergen, 2015, 2, 6, 60, 60, 60, 36101, -1, 
218103, Clank!: Sunken Treasures, 2017, 2, 4, 60, 60, 60, 7202, -1, 
245377, Clank!: The Mummy's Curse, 2018, 2, 4, 30, 60, 60, 3155, -1, 
100527, Claustrophobia: De Profundis, 2013, 2, 2, 45, 45, 45, 3251, -1, 
263983, Crisis at Steamfall: Kickstarter Promo pack, 2018, 1, 4, 60, 120, 120, 60, -1, 
18736, CSI: Miami – Het bordspel, 2018, 2, 6, 45, 45, 45, 157, -1, 
29263, CSI: The Board Game – Encore Edition, 2006, 2, 4, 60, 60, 60, 90, -1, 
128445, Darkest Night (First edition), 2012, 1, 4, 150, 150, 150, 1725, -1, 
174152, Dead of Winter: Felicia Day, 2015, 2, 5, -1, 100, 100, 1354, -1, 
55660, Dixit 2, 2011, 3, 6, 30, 30, 30, 13159, -1, 
119657, Dixit 3, 2013, 3, 6, 30, 30, 30, 5067, -1, 
